Count	Fit_Output	�..Protocol.Name	Sample.ID	Sample.Data.Type	AC50..uM.	CC.v2	Efficacy	Max.Resp	Structure	Activity.Rank	Metabolic.Stability..m.	Permeability..1e.6.cm.sec.	Solubility..ug.ml.	Drug.Name	Assay.Plate.ID	Supplier.ID	Supplier	Library	Log.AC50..M.	Row.Index	Ligand.Efficiency	Col.Index	Sample.Name	Alias	CC.v1	Tox.Flag	Target.ID	Fragments	Smiles.Can	Smiles.Unique	LEC	BEI	SEI	Data.Range	Inf.Activity	Hill.Coef	PValue	R2	AC50_2..uM.	Ncgc.Unique.ID	Log.AC50.2	Hill.Coef.2	Fraction	Sample.ID2	Tox21.ID	Zero.Activity	User.Flag	Max.Read1	Ic50	Max.Data	Min.Data	AUC	AUC.Fit	Cmpd.Plate.ID	Comment	Log.AC50.	Log.AC50..1	Inf.Activity.	Inf.Activity..1	Custom.1	Custom.2	NCGC.Unique.ID	Mapping.ID	Drug.ID	Assay.Name	Hash.Key.24.	MLSMR.Compound.Class	Primary.MOA	Origin	Solvent	Salt.Code	Purity	Purity.Rating	MW	PubChem.SID	CAS.	Gene.Symbol	Gene.ID	Tanimoto	Layer.Index	Curve.Class3	Data.Points	Ins.Date	Mask.No	Sar	Log.Dye.Conc	Report.Flag	Assay.Protocol.ID	Mask.Flags	Sample.Replicate	Plate.Replicate	Measure.Time	Replicate.IDs	Data.Mode	Assay.Outcome	Phenotype	Activity.Score	Confirmation.Flag	Control.Flag	Conc.ID	Experiment.Set	Team	Scientist	Data0	Data1	Data2	Data3	Data4	Data5	Data6	Data7	Data8	Data9	Data10	Data11	Data12	Data13	Data14	Data15	Data16	Data17	Data18	Data19	Data20	Data21	Data22	Data23	Data24	Lychi.L3	Lychi.L4	Sample.Data.ID
	0	alpha1-atz-U2OS-UZ11B-NPACT	NCGC00162453-15	Nluc100	0.205961677	1.1	122.9168681	141.7557651	C[C@H](\C=C(C)\C=C\C(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C		4.00999	261.39	>45			DC8134	DC Chemicals	2016_NPACT_04	-6.686213581	18		13	Trichostatin A		1.1								9.587343821	141.4308802	129.2812577	2.406378377	0.00113793	0.985904409								6.36438961			0.17	141.7557651	0.32488483	321.4906602	324.4010396										RTKIYFITIVXBLE		Alpha-1 antitrypsin	ulgPbJLeHXureVePix		HDAC Inhibitor						302.3682	363676612	58880-19-6	HDAC1			0		7	57:58.0	0				105634	0 0 0 0 0 0 0	1	1	31:27.0								173743255	alpha1-atz-U2OS-UZ11B-NPACT	ADST	BRAISTEDJC	0.32488483	13.87142278	15.65501991	105.2089502	120.3179993	126.4470481	141.7557651																			9WPG15JK832	9W2NLVUM1LLU	225954731
	0	alpha1-atz-U2OS-UZ11B-NPACT	NCGC00483115-01	Nluc100	14.58097009	2.2	32	32.11982907	COC1=C(C=CC(=C1)C#N)[S+]([O-])(=O)NC2=CC=C3N(C)C(=O)\C(=C/C3=C2)C							5546	Tocris	2016_NPACT_04	-4.836213581	30		27	NI 57		2.2								4.580181438	26.71278605	40	0.8	0.015959031	0.943611419								8				32.11982907	5.40704302	60.36072653	60.70527867										ZKKXIPUPPATOMI		Alpha-1 antitrypsin	oELGKpLWePpQeRLMJX		Peregrin Inhibitor						383.421	363681134					0		7	57:59.0	0				105634	0 0 0 0 0 0 0	1	1	31:27.0								173745656	alpha1-atz-U2OS-UZ11B-NPACT	ADST	BRAISTEDJC	6.92348563	8.56951322	5.40704302	13.62422947	12.80326147	20.15310988	32.11982907																			4BWZDK3HR9T	4BTDZRWX2SR3	225955253
	0	alpha1-atz-U2OS-UZ11B-NPACT	NCGC00481317-01	Nluc100	1.158207624	-1.2	-73.80182018	-75.80642132	CC1=CC2=C(C=CC=C2C(N)=O)[N]1C3=NC(=C4COCCC4=N3)NCC5=CC=CC=C5		21.26868	596.51	32.32787			A-1513	ActiveBioChem	2016_NPACT_04	-5.936213581	2		5	CB-5083		-1.2								6.238139534	80.41459126	-72.82254975	4.954917313	9.75E-05	0.995941861								0.979270437			1.36	4.60816994	-75.80642132	-121.3591378	-122.4392476										RDALZZCKQFLGJP		Alpha-1 antitrypsin	CxaPvQzdeOiAxKSXvW		p97 ATPase Inhibitor						413.4717	363681118	1542705-92-9	VCP			0		7	57:59.0	0				105634	0 0 0 0 0 0 0	1	1	31:27.0								173740084	alpha1-atz-U2OS-UZ11B-NPACT	ADST	BRAISTEDJC	-1.32742126	0.08980074	0.74490767	4.60816994	-65.15514325	-70.59288435	-75.80642132																			19WUPZC6N8D	19DLG7DD38P3	225954926
	0	alpha1-atz-U2OS-UZ11B-NPACT	NCGC00482982-02	Nluc100	6.513080099	2.3	168.634464	100.3496467	COC1=CC/2=C(C=C1)C3=C(C4CCCCC4)C5=C6C=C(C=C5)C(=O)N[S+]([O-])(=O)N(C)CCOCCN(C)C(=O)\C(=C2)C[N]36							HY-15591A	MedChem Express	2016_NPACT_04	-5.186213581	6		35	TMC647055		2.1								4.460491598	151.4961217	220.1431453	3.989972986	0.054086276	0.92944205								51.50868136			4.79	186.2463158	34.75019419	390.3103857	402.0196782										REEJGEICOJHGFH		Alpha-1 antitrypsin	RTJMaywYcAujdtTaUq		Hepatitis C virus NS5B RNA-dependent RNA polymerase Inhibitor			CHOLINE			606.732	363681132	1204416-97-6				0		7	57:58.0	1				105634	0 0 0 0 0 0 1	1	1	31:27.0								173740980	alpha1-atz-U2OS-UZ11B-NPACT	ADST	BRAISTEDJC	53.66822141	77.18279216	34.75019419	55.4369948	39.29606283	186.2463158	100.3496467																			DZRLQPQ9UNW	DZWN2QYFGKGP	225954370
	0	alpha1-atz-U2OS-UZ11B-NPACT	NCGC00484061-01	Nluc100	4.610907599	2.3	82.31876031	84.585967	CC1=C(C2=NC3=C([NH]2)C4=CC=CN=C4C5=NC=CC=C35)C6=C([NH]1)C=CC(=C6)F							HY-16291	MedChem Express	2016_NPACT_04	-5.336213581	10		35	APTO-253		2.1								7.585236078	84.60894135	89.83029695	1.21	0.05407215	0.98080328								7.511536645			5.56	84.585967	-0.02297435	127.3085828	122.6031558										NIRXBXIPHUTNNI		Alpha-1 antitrypsin	eQPwvXlSCoEBlklvuk		"Phase I enhancer of KLF4 expression, apoptosis inducer, angiogensis Inhibitor, cell cycle Inhibitor."						367.3785	363681154	916151-99-0		9314		0		7	57:58.0	1				105634	1 0 0 0 0 0 0	1	1	31:27.0								173741764	alpha1-atz-U2OS-UZ11B-NPACT	ADST	BRAISTEDJC	30.40109632	13.11790279	-0.02297435	14.41373268	27.56881408	65.10596008	84.585967																			FXADTHMFAY4	FX4RL4R4L9SR	225954837
	0	alpha1-atz-U2OS-UZ11B-NPACT	NCGC00484066-01	Nluc100	6.513080099	-2.1	-120.4331799	-95.96895432	COC1=CC(=CC(=C1)N2CC3=CN=C(NC4=CC=C(C=C4)N5CCN(C)CC5)N=C3N(CC6=CC=C(NC(=O)C=C)C=C6)C2=O)OC							HY-18602	MedChem Express	2016_NPACT_04	-5.186213581	28		9	FIIN-2		-2.1								4.490228208	91.74264124	-126.6790197	0.5	0.000401123	0.991711641								-6.24583982			2.77	-4.22631308	-95.96895432	-167.1883666	-168.1581732										DVBPRWJMHURKHP		Alpha-1 antitrypsin	KOWHpughqitQqGwRbQ		Fibroblast growth factor receptor 4 Inhibitor						634.7274	363681157	1633044-56-0				0		7	57:58.0	0				105634	0 0 0 0 0 0 0	1	1	31:27.0								173745264	alpha1-atz-U2OS-UZ11B-NPACT	ADST	BRAISTEDJC	-4.22631308	-16.41640719	-17.88376348	-30.06868743	-45.47669941	-71.52342692	-95.96895432																			XS11NZ9HN4A	XSAC2RBNY87L	225954747
	0	alpha1-atz-U2OS-UZ11B-NPACT	NCGC00484067-01	Nluc100	20.59616769	-2.1	-107.4440419	-85.20263233	CN1CCN(CC1)C2=CC(=C(C=C2)C(=O)NC3=N[NH]C4=C3C=C(CC5=CC(=CC(=C5)F)F)C=C4)NC6CCOCC6							HY-12678	MedChem Express	2016_NPACT_04	-4.686213581	18		27	Entrectinib		-2.1								5.473269774	89.67353817	-109.9113957	1.47808881	0.001687903	0.982745996								-2.467353817			18.2	4.47090584	-85.20263233	-61.93004315	-63.12640079										HAYYBYPASCDWEQ		Alpha-1 antitrypsin	vwQIkbycOimwtVOsWy		"TrkA/B/C,ROS1,ALK Inhibitor"						560.6375	363681158	1108743-60-7	NTRK1			0		7	57:58.0	0				105634	0 0 0 0 0 0 0	1	1	31:27.0								173743304	alpha1-atz-U2OS-UZ11B-NPACT	ADST	BRAISTEDJC	-1.25334449	4.47090584	-5.5986872	-2.59923826	-11.30551308	-25.17898766	-85.20263233																			SQ1DQJ788GP	SQPN7K5NY3NW	225954811
	0	alpha1-atz-U2OS-UZ11B-NPACT	NCGC00484082-01	Nluc100	18.35635378	2.2	43.24144524	43.26762464	COCCOCCOC1=CC=C(C(=C1)O)C/2=N/[C@](C)(CS2)C(O)=O							HY-16912	MedChem Express	2016_NPACT_04	-4.736213581	14		43	SP-420		2.2								4.848703502	40.2482126	49.22903461	1.967336206	0.005948398	0.966782852								5.98758937				43.26762464	3.01941204	50.57636209	48.97775045										YASYAEVZKXPYIZ		Alpha-1 antitrypsin	UndswhjvwuCeEybIQl								355.406	363681173	911714-45-9				0		7	57:59.0	0				105634	0 0 0 0 0 0 0	1	1	31:27.0								173742576	alpha1-atz-U2OS-UZ11B-NPACT	ADST	BRAISTEDJC	10.40459432	3.01941204	8.61220364	4.16181149	5.82124443	14.7243381	43.26762464																			XJ9GKPRSL5A	XJABYG49NK58	225955241
	0	alpha1-atz-U2OS-UZ11B-NPACT	NCGC00475742-01	Nluc100	1.636011753	-1.2	-45.39222828	-32.38667493	CCC1=CC(=CC=C1[N]2N=C(C(C)C)C3=C(C=CN=C23)[N]4C=NC(=C4)C5=C[N](C)N=C5)C(N)=O							A-1924	ActiveBioChem	2016_NPACT_04	-5.786213581	6		27	TAS-116		-1.2								5.282283714	58.16672236	-34.98389217	4.954917313	0.015698109	0.944029764								10.40833612				21.17319879	-36.99352357	-22.28482337	-20.6718113										NVVPMZUGELHVMH		Alpha-1 antitrypsin	erCBXKqKiRbslXqtka		Heat Shock Protein 90 (hsp90) Inhibitor						454.5269	363681099	1260533-36-5	HSP90AB1			0		7	57:59.0	0				105634	0 0 0 0 0 0 0	1	1	31:27.0								173740952	alpha1-atz-U2OS-UZ11B-NPACT	ADST	BRAISTEDJC	5.58989602	21.17319879	7.55840817	6.85723151	-19.17702278	-36.99352357	-32.38667493																			W8CAD4CU39L	W8LNNP5RYB27	225954934
	0	alpha1-atz-U2OS-UZ11B-NPACT	NCGC00481575-01	Nluc100	1.781479387	-1.1	-94.69971616	-80.80987235	CCNC(=O)C#CC1=CC=C\2C(=C1)NC(=O)C2=C(\NC3=CC=C(CN(C)C)C=C3)C4=CC=CC=C4							B5956	APExBIO	2016_NPACT_04	-5.749219198	30		29	BI-847325		5								7.814624437	113.606533	-81.0669322	1.86169246	0.01271613	0.950091673								13.63278396			2.3	32.79666065	-80.80987235	-70.10858913	-72.92743025										FLBNLJLONKAPLR		Alpha-1 antitrypsin	iCnXGelWCawRrMOFlM		Aurora Kinase Inhibitor						464.5582	363681124		AURKA			0		7	57:59.0	0				105634	0 0 0 0 0 0 0	1	1	31:27.0								173745663	alpha1-atz-U2OS-UZ11B-NPACT	ADST	BRAISTEDJC	1.76093369	32.79666065	10.11897257	8.09547986	-6.53297605	-66.82094794	-80.80987235																			SVKD5NDAHH4	SV4LDPGBZ5GW	225955220
