Format,ncats_qhts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Log_Conc_M,-9.011761791,-8.534640544,-8.057519287,-7.580398031,-7.103276777,-6.626155522,-6.149034267,-5.671913012,-5.194791758,-4.717670503,-4.240549248,,,,,,,,,,,,,,,
Fit_Output,Protocol Name,Sample ID,Sample Data Type,AC50 (uM),CC-v2,Efficacy,Max Resp,Structure,Metabolic Stability [m],Permeability [1e-6 cm/sec],Solubility [ug/ml],Drug Name,Assay Plate ID,Supplier ID,Supplier,Library,Log AC50 (M),Ligand Efficiency,Sample Name,Alias,CC-v1,LEC,BEI,SEI,Data Range,Inf Activity,Hill Coef,PValue,R2,AC50_2 (uM),Log AC50 2,Hill Coef 2,Fraction,Sample ID2,Tox21 ID,Zero Activity,User Flag,Max Read1,Max Data,Min Data,AUC,AUC Fit,Cmpd Plate ID,Comment,Log AC50-,Log AC50+,Inf Activity-,Inf Activity+,Custom 2,Custom 1,NCGC Unique ID,Mapping ID,Drug ID,Assay Name,Hash Key(24),MLSMR Compound Class,Primary MOA,Origin,Solvent,Salt Code,Purity,Purity Rating,MW,PubChem SID,CAS#,Gene Symbol,Gene ID,Tanimoto,Layer Index,Data Points,Mask No,Log Dye Conc,Report Flag,Assay Protocol ID,Mask Flags,Sample Replicate,Plate Replicate,Measure Time,Replicate IDs,Data Mode,Assay Outcome,Phenotype,Activity Score,Confirmation Flag,Control Flag,Conc ID,Experiment Set,Team,Scientist,IC50 (uM),Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Data23,Data24,Sample Data ID
1,cmt1a-syt-fu-manuscript-cr-C9F2sN,NCGC00104011-01,fluc,12.182472,-1.1,-104.23,-103.137,COC1=CC=CC=C1NC2=C3C=C(NC(=O)/C=C/C4=CC(=C(OC)C(=C4)OC)OC)C=CC3=NC5=C2CCCC5,null,null,null,null,null,C066-3617,Sytravon,2016_CMTA_01,-4.9143,0.169,null,null,-1.1,null,9.105,5.325,110.656,-110.316,4.955,0,0.96,null,null,null,null,null,null,-6.086,null,null,1.216,-109.44,-103.987,-100.82,null,null,null,null,null,null,null,null,A35PDAA1FB64,MNXWLXBKOICXIQ,null,cmt1a-fu,SYdnRTECMgjtlAXsum,null,null,null,null,null,null,null,539.6,24267356,null,null,null,null,0,11,0,null,null,104113,0 0 0 0 0 0 0 0 0 0 0,1,1,12:47.0,null,null,null,null,null,null,null,190249060,cmt1a-syt-fu-manusc-npm,null,BRAISTEDJC,11.729931,0,-1.54,-13.159,0.779,-20.841,-6.191,-12.557,-4.723,1.216,-109.44,-103.137,null,null,null,null,null,null,null,null,null,null,null,null,null,null,229330431
1,cmt1a-syt-fu-manuscript-cr-C9F2sN,NCGC00104011-01,nluc,12.182472,-1.1,-185.289,-178.851,COC1=CC=CC=C1NC2=C3C=C(NC(=O)/C=C/C4=CC(=C(OC)C(=C4)OC)OC)C=CC3=NC5=C2CCCC5,null,null,null,null,null,C066-3617,Sytravon,2016_CMTA_01,-4.9143,0.169,null,null,-1.1,null,9.105,5.325,178.851,-194.232,1.967,0,0.956,null,null,null,null,null,null,-8.943,null,null,0,-178.851,-171.825,-170.116,null,null,null,null,null,null,null,null,A35PDAA1FB64,MNXWLXBKOICXIQ,null,cmt1a-fu,SYdnRTECMgjtlAXsum,null,null,null,null,null,null,null,539.6,24267356,null,null,null,null,2,11,0,null,null,104113,0 0 0 0 0 0 0 0 0 0 0,1,1,12:47.0,null,null,null,null,null,null,null,190256661,cmt1a-syt-fu-manusc-npm,null,BRAISTEDJC,7.110014,-3.235,-42.053,0,-10.101,0,-0.222,-14.029,-16.636,-34.821,-151.357,-178.851,null,null,null,null,null,null,null,null,null,null,null,null,null,null,229331122
1,cmt1a-syt-fu-manuscript-cr-C9F2sN,NCGC00104013-01,fluc,6.850707,-1.1,-99.356,-83.945,COC1=CC=CC=C1NC2=C3C=C(NC(=O)/C=C/C4=CC=CC(=C4OC)OC)C=CC3=NC5=C2CCCC5,null,null,null,null,null,C066-3621,Sytravon,2016_CMTA_01,-5.1643,0.187,null,null,5,null,10.132,6.218,125.241,-88.71,2.72,0.004,0.899,null,null,null,null,null,null,10.645,null,null,35.66,-89.58,-42.855,-40.971,null,null,null,null,null,null,null,null,Y3JU16MAMKNN,VLORCDRZKICWAO,null,cmt1a-fu,swypDYZKcXejDbEvPH,null,null,null,null,null,null,null,509.6,24267358,null,null,null,null,0,11,0,null,null,104113,0 0 0 0 0 0 0 0 0 0 0,1,1,12:47.0,null,null,null,null,null,null,null,190247333,cmt1a-syt-fu-manusc-npm,null,BRAISTEDJC,7.526508,16.888,-9.242,0,27.835,-0.028,8.233,35.66,0.524,-29.723,-89.58,-83.945,null,null,null,null,null,null,null,null,null,null,null,null,null,null,229330328
1,cmt1a-syt-fu-manuscript-cr-C9F2sN,NCGC00104013-01,nluc,8.624529,-1.1,-142.591,-122.004,COC1=CC=CC=C1NC2=C3C=C(NC(=O)/C=C/C4=CC=CC(=C4OC)OC)C=CC3=NC5=C2CCCC5,null,null,null,null,null,C066-3621,Sytravon,2016_CMTA_01,-5.0643,0.183,null,null,5,null,9.936,6.097,152.57,-131.148,1.967,0.001,0.936,null,null,null,null,null,null,11.443,null,null,30.566,-122.004,-65.84,-63.85,null,null,null,null,null,null,null,null,Y3JU16MAMKNN,VLORCDRZKICWAO,null,cmt1a-fu,swypDYZKcXejDbEvPH,null,null,null,null,null,null,null,509.6,24267358,null,null,null,null,2,11,0,null,null,104113,0 0 0 0 0 0 0 0 0 0 0,1,1,12:47.0,null,null,null,null,null,null,null,190254934,cmt1a-syt-fu-manusc-npm,null,BRAISTEDJC,6.742736,26.394,-9.486,24.885,0,0,0,30.566,12.114,-37.726,-110.612,-122.004,null,null,null,null,null,null,null,null,null,null,null,null,null,null,229331019
1,cmt1a-syt-fu-manuscript-cr-C9F2sN,NCGC00104015-01,fluc,9.676881,-1.1,-116.507,-99.443,COC1=C(OC)C=C(NC2=C3C=C(NC(=O)C4=C(OC)C=CC(=C4)Cl)C=CC3=NC5=C2CCCC5)C=C1,null,null,null,null,null,C066-3642,Sytravon,2016_CMTA_01,-5.0143,0.186,null,null,-1.3,null,9.678,6.037,141.537,-120.046,1.885,0.022,0.821,null,null,null,null,null,null,-3.538,null,null,29.704,-111.833,-108.311,-108.249,null,null,null,null,null,null,null,null,MNKJLS4XMV8G,UWOISKIAQMNKSU,null,cmt1a-fu,IEDQugNKEQzBvyiXSy,null,null,null,null,null,null,null,518,24267360,null,null,null,null,0,11,0,null,null,104113,0 0 0 0 0 0 0 0 0 0 0,1,1,12:47.0,null,null,null,null,null,null,null,190245309,cmt1a-syt-fu-manusc-npm,null,BRAISTEDJC,8.092227,-2.71,29.704,-34.26,-5.117,0.881,-25.379,-3.103,1.349,-28.225,-111.833,-99.443,null,null,null,null,null,null,null,null,null,null,null,null,null,null,229330945
1,cmt1a-syt-fu-manuscript-cr-C9F2sN,NCGC00104015-01,nluc,9.676881,-1.1,-174.854,-178.258,COC1=C(OC)C=C(NC2=C3C=C(NC(=O)C4=C(OC)C=CC(=C4)Cl)C=CC3=NC5=C2CCCC5)C=C1,null,null,null,null,null,C066-3642,Sytravon,2016_CMTA_01,-5.0143,0.186,null,null,-1.1,null,9.678,6.037,188,-178.614,4.095,0,0.985,null,null,null,null,null,null,-3.76,null,null,9.742,-178.258,-147.902,-151.297,null,null,null,null,null,null,null,null,MNKJLS4XMV8G,UWOISKIAQMNKSU,null,cmt1a-fu,IEDQugNKEQzBvyiXSy,null,null,null,null,null,null,null,518,24267360,null,null,null,null,2,11,0,null,null,104113,0 0 0 0 0 0 0 0 0 0 0,1,1,12:47.0,null,null,null,null,null,null,null,190252910,cmt1a-syt-fu-manusc-npm,null,BRAISTEDJC,7.683075,-9.161,0,-17.491,-11.132,4.733,-8.559,7.69,9.742,-33.918,-167.463,-178.258,null,null,null,null,null,null,null,null,null,null,null,null,null,null,229331636
1,cmt1a-syt-fu-manuscript-cr-C9F2sN,NCGC00104021-01,fluc,6.105699,-1.1,-96.473,-111.727,COC1=C(C=CC=C1)C2=CC(=NC(=N2)[S+]([O-])(=O)CCCC(=O)NC3=C(F)C=CC=C3)C(F)(F)F,null,null,null,null,null,C071-0425,Sytravon,2016_CMTA_01,-5.2143,0.211,null,null,-1.1,null,10.48,4.885,115.76,-104.576,2.406,0.002,0.92,null,null,null,null,null,null,-8.103,null,null,4.034,-111.727,-133.404,-132.769,null,null,null,null,null,null,null,null,QU5L2ZZNJRNS,MOUPBQGYRZYMJP,null,cmt1a-fu,kePYtfgEAWxrtcYfKX,null,null,null,null,null,null,null,497.5,24267366,null,null,null,null,0,11,0,null,null,104113,0 0 0 0 0 0 0 0 0 0 0,1,1,12:47.0,null,null,null,null,null,null,null,190249181,cmt1a-syt-fu-manusc-npm,null,BRAISTEDJC,5.8875,4.034,-29.869,-7.93,2.583,-24.179,2.217,-8.767,-8.431,-60.824,-90.592,-111.727,null,null,null,null,null,null,null,null,null,null,null,null,null,null,229330954
1,cmt1a-syt-fu-manuscript-cr-C9F2sN,NCGC00104021-01,nluc,7.68662,-1.1,-185.856,-175.055,COC1=C(C=CC=C1)C2=CC(=NC(=N2)[S+]([O-])(=O)CCCC(=O)NC3=C(F)C=CC=C3)C(F)(F)F,null,null,null,null,null,C071-0425,Sytravon,2016_CMTA_01,-5.1143,0.206,null,null,5,null,10.279,4.792,208.908,-176.455,1.808,0,0.951,null,null,null,null,null,null,9.401,null,null,33.853,-175.055,-118.117,-119.05,null,null,null,null,null,null,null,null,QU5L2ZZNJRNS,MOUPBQGYRZYMJP,null,cmt1a-fu,kePYtfgEAWxrtcYfKX,null,null,null,null,null,null,null,497.5,24267366,null,null,null,null,2,11,0,null,null,104113,0 0 0 0 0 0 0 0 0 0 0,1,1,12:47.0,null,null,null,null,null,null,null,190256782,cmt1a-syt-fu-manusc-npm,null,BRAISTEDJC,4.600964,12.921,-11.231,27.879,7.243,-1.245,33.853,-15.113,8.467,-77.275,-139.202,-175.055,null,null,null,null,null,null,null,null,null,null,null,null,null,null,229331645
1,cmt1a-syt-fu-manuscript-cr-C9F2sN,NCGC00104027-01,nluc,10.857639,-1.1,-207.512,-181.235,COC1=CC=C(Cl)C=C1NC(=O)CCC[S+]([O-])(=O)C2=NC(=CC(=N2)C(F)(F)F)C3=CC(=C(OC)C=C3)OC,null,null,null,null,null,C071-0523,Sytravon,2016_CMTA_01,-4.9643,0.179,null,null,5,null,8.648,3.965,221.54,-196.435,2.253,0,0.945,null,null,null,null,null,null,11.077,null,null,40.306,-181.235,-93.817,-98.704,null,null,null,null,null,null,null,null,4CCU75RTTN3A,GJPLSYSMJPLPFO,null,cmt1a-fu,resCZrwCNHawztgzIq,null,null,null,null,null,null,null,574,24267372,null,null,null,null,2,11,0,null,null,104113,0 0 0 0 0 0 0 0 0 0 0,1,1,12:47.0,null,null,null,null,null,null,null,190252536,cmt1a-syt-fu-manusc-npm,null,BRAISTEDJC,6.738573,0,32.531,0,12.981,15.46,4.72,-19.585,40.306,-36.611,-155.97,-181.235,null,null,null,null,null,null,null,null,null,null,null,null,null,null,229331550
1,cmt1a-syt-fu-manuscript-cr-C9F2sN,NCGC00104139-01,nluc,4.849929,-1.1,-145.657,-139.08,CCOC(=O)C\1=C\C2=C(\N=C3\C=C/C=C\N3C2=O)N(CC4=CC=CO4)C1=N\C(=O)C5=CC(=CC(=C5)C)C,null,null,null,null,null,C098-0586,Sytravon,2016_CMTA_01,-5.3143,0.197,null,null,5,null,10.701,5.067,193.085,-130.21,1.626,0.004,0.9,null,null,null,null,null,null,15.447,null,null,54.005,-139.08,-75.132,-83.588,null,null,null,null,null,null,null,null,D9LWKJS2473S,WISLRFZUPMSSOQ,null,cmt1a-fu,qSTLXwyRbyxrLobkHB,null,null,null,null,null,null,null,496.5,24267484,null,null,null,null,2,11,0,null,null,104113,0 0 0 0 0 0 0 0 0 0 0,1,1,12:47.0,null,null,null,null,null,null,null,190254758,cmt1a-syt-fu-manusc-npm,null,BRAISTEDJC,3.626538,-8.045,5.516,0,27.046,54.005,0,27.97,-16.872,-82.722,-98.915,-139.08,null,null,null,null,null,null,null,null,null,null,null,null,null,null,229331461
