Format,generic_qhts,,,,,,,Log_Conc_M,-9.011761791,-8.534640544,-8.057519287,-7.580398031,-7.103276777,-6.626155522,-6.149034267,-5.671913012,-5.194791758,-4.717670503,-4.240549248
Fit_Output,Comp_ID,Comp_Name,Readout,SMILES,Log_AC50_M,S_0,S_Inf,Hill_Slope,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10
1,NCGC00104021-01,null,fluc,COC1=C(C=CC=C1)C2=CC(=NC(=N2)[S+]([O-])(=O)CCCC(=O)NC3=C(F)C=CC=C3)C(F)(F)F,-5.2143,-8.103,-104.576,2.406,4.034,-29.869,-7.93,2.583,-24.179,2.217,-8.767,-8.431,-60.824,-90.592,-111.727
1,NCGC00104021-01,null,nluc,COC1=C(C=CC=C1)C2=CC(=NC(=N2)[S+]([O-])(=O)CCCC(=O)NC3=C(F)C=CC=C3)C(F)(F)F,-5.1143,9.401,-176.455,1.808,12.921,-11.231,27.879,7.243,-1.245,33.853,-15.113,8.467,-77.275,-139.202,-175.055
1,NCGC00104027-01,null,nluc,COC1=CC=C(Cl)C=C1NC(=O)CCC[S+]([O-])(=O)C2=NC(=CC(=N2)C(F)(F)F)C3=CC(=C(OC)C=C3)OC,-4.9643,11.077,-196.435,2.253,0,32.531,0,12.981,15.46,4.72,-19.585,40.306,-36.611,-155.97,-181.235
1,NCGC00104139-01,null,nluc,CCOC(=O)C\1=C\C2=C(\N=C3\C=C/C=C\N3C2=O)N(CC4=CC=CO4)C1=N\C(=O)C5=CC(=CC(=C5)C)C,-5.3143,15.447,-130.21,1.626,-8.045,5.516,0,27.046,54.005,0,27.97,-16.872,-82.722,-98.915,-139.08
1,NCGC00104508-01,null,fluc,CCOC1=CC=C(NC(=O)CSC2=C(N=C(O2)C3=CC=C(F)C=C3)[S+]([O-])(=O)C4=CC=C(C)C=C4)C=C1,-4.8643,0,-90.557,4.955,2.836,0,-18.392,-7.467,16.312,0,0,0,3.064,-75.051,-91.472
1,NCGC00104508-01,null,nluc,CCOC1=CC=C(NC(=O)CSC2=C(N=C(O2)C3=CC=C(F)C=C3)[S+]([O-])(=O)C4=CC=C(C)C=C4)C=C1,-4.8143,-8.771,-133.326,4.955,-18.351,0,-4.187,-27.867,0,2.665,-21.188,0,-12.295,-104.435,-132.268
1,NCGC00105178-01,null,nluc,COC(=O)C[S+]([O-])(=O)C1=NC2=CC=CC=C2N=C1N3CCCCC3,-5.1143,2.61,-94.936,1.248,6.939,0.433,5.428,-11.587,-2.454,9.769,16.502,-33.675,-32.704,-75.032,-87.904
1,NCGC00106228-01,null,fluc,ClC1=CC=C(CN2C(=O)N(CC3=CC=C(C=C3)C(=O)NC4CCN(CC4)CC5=CC=CC=C5)C(=O)C6=CC=CC=C26)C=C1,-5.0143,-7.95,-96.139,4.955,8.173,9.471,-29.755,-12.535,-16.198,-23.092,2.13,-1.867,-17.636,-96.525,-92.854
1,NCGC00106228-01,null,nluc,ClC1=CC=C(CN2C(=O)N(CC3=CC=C(C=C3)C(=O)NC4CCN(CC4)CC5=CC=CC=C5)C(=O)C6=CC=CC=C26)C=C1,-4.9143,0,-114.573,4.955,15.891,11.441,2.06,-33.796,7.811,-10.268,-3.297,0,8.205,-105.454,-112.991
1,NCGC00106485-01,null,fluc,CC1=CC(=C(NC(=O)CN2C(=O)N(CC3=CC=C(C=C3)C(=O)NCC4=CC=C5OCOC5=C4)C(=O)C6=CC=CC=C26)C(=C1)C)C,-5.1643,16.093,-119.532,2.787,-16.345,2.7,16.132,49.324,48.62,0,6.466,19.224,-50.552,-108.891,-120.08
